hide;lat;lon;status;closed;name;addr;town;posttown;county;postcode;prev;img;url;gsv
;51.2183558909;-0.3152062924;open;;Royal Oak;Chart Lane South ;Stonebridge ;Dorking;Surrey;RH5 4DJ ;;https://whatpub.com/img/REI/363/royal-oak-stonebridge/200/150;https://whatpub.com/pubs/REI/363/royal-oak-stonebridge;https://www.google.co.uk/maps/@51.2182879,-0.3150384,3a,75y,289.02h,85.04t/data=!3m6!1e1!3m4!1s1QJTAuwQS5C4edw2uAZl-A!2e0!7i13312!8i6656
;51.2073824974;-0.3113546027;gone;2009;Plough;Blackbrook Road ;Blackbrook;Dorking;Surrey;RH5 4DS ;;https://whatpub.com/img/REI/20/plough-blackbrook/298/224/1;https://whatpub.com/pubs/REI/20/plough-blackbrook;https://www.google.co.uk/maps/@51.2071795,-0.3115026,3a,66.7y,21.95h,88.19t/data=!3m6!1e1!3m4!1s4YmpKbZLoMah-SqZr2eEZg!2e0!7i13312!8i6656
;51.2023392863;-0.3292438415;bone;1960s;Norfolk Arms;Horsham Road;Mid Holmwood;Dorking;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/midholmwood_norfolkarms.JPG;http://www.closedpubs.co.uk/surrey/midholmwood_norfolkarms.html;https://www.google.co.uk/maps/@51.2024255,-0.3290335,3a,75y,224.79h,91.06t/data=!3m6!1e1!3m4!1s0fF56FiALCDqtmOU9Cb7WQ!2e0!7i13312!8i6656
;;;bone;1830s;Old Nag's Head;Horsham Road;Mid Holmwood;Dorking;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/midholmwood_oldnagshead.JPG;http://www.closedpubs.co.uk/surrey/midholmwood_oldnagshead.html;
;51.1940784112;-0.3256469992;dead;;Holly & Laurel;Horsham Road;South Holmwood;Dorking;Surrey;RH5 4NG ;;http://www.closedpubs.co.uk/surrey/pics/southholmwood_hollylaurel.JPG;http://www.closedpubs.co.uk/surrey/southholmwood_hollylaurel.html|https://whatpub.com/pubs/REI/360/holly-laurel-south-holmwood;https://www.google.co.uk/maps/@51.1943824,-0.325654,3a,89.9y,266.58h,90.78t/data=!3m6!1e1!3m4!1sWBGuptmE6qhxI8Zn8hiTWQ!2e0!7i13312!8i6656
;51.1800863221;-0.3174357642;gone;1991;White Hart;Old Horsham Road ;Beare Green;Dorking;Surrey;RH5 4QY ;;;https://whatpub.com/pubs/REI/16/white-hart-beare-green;https://www.google.co.uk/maps/@51.1801685,-0.3179117,3a,75y,77.31h,96.28t/data=!3m6!1e1!3m4!1sExPiNA_9wJscyPIXKqQC2g!2e0!7i13312!8i6656
;51.1750369183;-0.315569979;open;;Duke's Head;Horsham Road;Beare Green;Dorking;Surrey;RH5 4QP ;;https://whatpub.com/img/REI/15/dukes-head-beare-green/298/224/1;https://whatpub.com/pubs/REI/15/dukes-head-beare-green;https://www.google.co.uk/maps/@51.174957,-0.3159088,3a,49.7y,54.87h,90.56t/data=!3m6!1e1!3m4!1sy3DtdVbccZueCyKlUBJUWg!2e0!7i13312!8i6656
;51.182695644;-0.3008419329;limbo;2015;Henfold Lakes;Henfold Lane;Beare Green;Dorking;Surrey;RH5 4RW;;https://whatpub.com/img/REI/449/henfold-lakes-beare-green/298/224/1;https://whatpub.com/pubs/REI/449/henfold-lakes-beare-green;
;51.169711;-0.316694;dead;;Surrey Hills Hotel bar;Horsham Road;Capel;Dorking;Surrey;RH5 4PG;;https://whatpub.com/img/REI/40/surrey-hills-hotel-capel/298/224/1;https://whatpub.com/pubs/REI/40/surrey-hills-hotel-capel;https://www.google.co.uk/maps/@51.170012,-0.3172997,3a,43.4y,135.57h,98.19t/data=!3m6!1e1!3m4!1s4yRq-MqwqhHUPhuo8-_40A!2e0!7i13312!8i6656
;51.1535240317;-0.3201377419;open;;Crown;98 The Street;Capel;Dorking;Surrey;RH5 5JY;;https://whatpub.com/img/REI/38/crown-capel/298/224/1;https://whatpub.com/pubs/REI/38/crown-capel;https://www.google.co.uk/maps/@51.1534169,-0.3198377,3a,51.7y,296.58h,95.83t/data=!3m6!1e1!3m4!1s6KYE4ssO75T5a3hlNKMScQ!2e0!7i13312!8i6656
;51.1556320025;-0.3208243874;gone;1986;King's Head;The Street;Capel;Dorking;Surrey;;;https://photos.francisfrith.com/frith/capel-the-king-s-head-c1955_c20024.jpg;https://whatpub.com/pubs/REI/39/kings-head-capel;https://www.google.co.uk/maps/@51.1556939,-0.3204809,3a,75y,265.42h,92.31t/data=!3m6!1e1!3m4!1soUhYkMDhPBFJky9hRzqkXg!2e0!7i13312!8i6656
;51.1506252035;-0.3210148229;bone;;Jolly Farmer ;177 The Street ;Capel;Dorking;Surrey;;;;http://www.closedpubs.co.uk/surrey/capel_jollyfarmer.html;https://www.google.co.uk/maps/@51.1507099,-0.3218191,3a,24.2y,105.09h,88.32t/data=!3m6!1e1!3m4!1suNIuK2ndYFiwnuz055h_7A!2e0!7i13312!8i6656
;51.1650432572;-0.2890414165;open;;Six Bells;Village Street ;Newdigate;Dorking;Surrey;RH5 5DH ;;https://whatpub.com/img/REI/260/six-bells-newdigate/298/224/1000001;https://whatpub.com/pubs/REI/260/six-bells-newdigate;https://www.google.co.uk/maps/@51.1650785,-0.2888299,3a,74.5y,273.63h,91.5t/data=!3m6!1e1!3m4!1srYZREWgdmRYWjMgdT1-vlQ!2e0!7i13312!8i6656
